Temp	freq	eps_real	eps_imag	loss	condAC_real	condAC_imag	m_real	m_imag	z_real	z_imag	Cp	Rp	Z_real_normalized	Z_imag_normalized	|Z|	Theta	Z_real_normalized	Z_imag_normalized	Dimensions
339	100	54.1527	12.1231	0.223868	6.74E-08	3.01E-07	0.017585	0.00393672	1.04E+07	4.66E+07	3.25E-11	2.19E+08	7.08E+07	3.16E+08	4.77E+07	77.3814	6.74E-10	3.01E-09	0.0024
339	112.202	35.0126	3.10515	0.0886865	1.94E-08	2.19E-07	0.0283382	0.00251322	5.93E+06	6.69E+07	2.10E-11	7.60E+08	4.03E+07	4.54E+08	6.72E+07	84.9319	1.94E-10	2.19E-09	0.00016286
339	125.893	35.0619	0.549762	0.0156798	3.85E-09	2.46E-07	0.028514	0.000447092	940727	6.00E+07	2.11E-11	3.83E+09	6.38E+06	4.07E+08	6.00E+07	89.1017	3.85E-11	2.46E-09	0
339	141.254	34.5074	2.11712	0.0613525	1.66E-08	2.71E-07	0.0288706	0.00177129	3.32E+06	5.41E+07	2.07E-11	8.86E+08	2.25E+07	3.67E+08	5.42E+07	86.4892	1.66E-10	2.71E-09	0
339	158.489	34.7871	1.37002	0.0393831	1.21E-08	3.07E-07	0.0287018	0.00113036	1.89E+06	4.80E+07	2.09E-11	1.22E+09	1.28E+07	3.26E+08	4.80E+07	87.7447	1.21E-10	3.07E-09	0
339	177.828	32.99	0.654816	0.0198489	6.48E-09	3.26E-07	0.0303003	0.000601428	895883	4.51E+07	1.98E-11	2.27E+09	6.08E+06	3.06E+08	4.51E+07	88.8629	6.48E-11	3.26E-09	0
339	199.526	31.9709	5.19074	0.162358	5.76E-08	3.55E-07	0.0304751	0.0049479	6.57E+06	4.05E+07	1.92E-11	2.56E+08	4.46E+07	2.75E+08	4.10E+07	80.778	5.76E-10	3.55E-09	0
339	223.872	33.9559	1.07424	0.0316363	1.34E-08	4.23E-07	0.0294206	0.000930756	1.10E+06	3.48E+07	2.04E-11	1.10E+09	7.47E+06	2.36E+08	3.48E+07	88.188	1.34E-10	4.23E-09	0
339	251.189	35.1925	1.37572	0.0390912	1.92E-08	4.92E-07	0.0283718	0.00110909	1.17E+06	2.99E+07	2.11E-11	7.67E+08	7.94E+06	2.03E+08	2.99E+07	87.7614	1.92E-10	4.92E-09	0
339	281.838	36.5692	0.110501	0.0030217	1.73E-09	5.73E-07	0.0273452	8.26E-05	77660.5	2.57E+07	2.20E-11	8.51E+09	526991	1.74E+08	2.57E+07	89.8269	1.73E-11	5.73E-09	0
339	316.228	34.4585	1.66177	0.0482254	2.92E-08	6.06E-07	0.0289531	0.00139627	1.17E+06	2.43E+07	2.07E-11	5.04E+08	7.94E+06	1.65E+08	2.43E+07	87.239	2.92E-10	6.06E-09	0
339	354.813	34.4413	1.45818	0.0423382	2.88E-08	6.80E-07	0.028983	0.00122709	916101	2.16E+07	2.07E-11	5.12E+08	6.22E+06	1.47E+08	2.17E+07	87.5757	2.88E-10	6.80E-09	0
339	398.107	33.5921	1.45363	0.0432731	3.22E-08	7.44E-07	0.0297133	0.00128578	855533	1.98E+07	2.02E-11	4.58E+08	5.81E+06	1.34E+08	1.98E+07	87.5222	3.22E-10	7.44E-09	0
339	446.684	33.6917	0.206896	0.00614084	5.14E-09	8.37E-07	0.0296798	0.000182259	108083	1.76E+07	2.02E-11	2.87E+09	733432	1.19E+08	1.76E+07	89.6482	5.14E-11	8.37E-09	0
339	501.187	33.6461	0.857302	0.02548	2.39E-08	9.38E-07	0.0297019	0.000756803	399992	1.57E+07	2.02E-11	6.17E+08	2.71E+06	1.07E+08	1.57E+07	88.5404	2.39E-10	9.38E-09	0
339	562.341	34.979	2.80591	0.0802169	8.78E-08	1.09E-06	0.0284058	0.00227862	1.07E+06	1.34E+07	2.10E-11	1.68E+08	7.28E+06	9.08E+07	1.34E+07	85.4137	8.78E-10	1.09E-08	0
339	630.957	33.8849	0.222188	0.00655712	7.80E-09	1.19E-06	0.0295104	0.000193503	81237.4	1.24E+07	2.04E-11	1.89E+09	551264	8.41E+07	1.24E+07	89.6243	7.80E-11	1.19E-08	0
339	707.946	33.9674	0.627626	0.0184773	2.47E-08	1.34E-06	0.0294299	0.000543785	203468	1.10E+07	2.04E-11	5.96E+08	1.38E+06	7.47E+07	1.10E+07	88.9415	2.47E-10	1.34E-08	0
339	794.328	33.7569	0.657902	0.0194894	2.91E-08	1.49E-06	0.0296123	0.000577127	192460	9.88E+06	2.03E-11	5.07E+08	1.31E+06	6.70E+07	9.88E+06	88.8835	2.91E-10	1.49E-08	0
339	891.251	33.5462	0.682234	0.0203371	3.38E-08	1.66E-06	0.0297973	0.00060599	180108	8.86E+06	2.02E-11	4.36E+08	1.22E+06	6.01E+07	8.86E+06	88.8349	3.38E-10	1.66E-08	0
339	1000	33.589	0.164283	0.00489098	9.14E-09	1.87E-06	0.0297709	0.000145609	38570.6	7.89E+06	2.02E-11	1.61E+09	261734	5.35E+07	7.89E+06	89.7198	9.14E-11	1.87E-08	0
339	1122.02	33.6872	0.654651	0.0194332	4.09E-08	2.10E-06	0.0296736	0.000576654	136139	7.01E+06	2.02E-11	3.61E+08	923818	4.75E+07	7.01E+06	88.8867	4.09E-10	2.10E-08	0
339	1258.92	33.5539	0.556138	0.0165745	3.90E-08	2.35E-06	0.0297946	0.00049383	103907	6.27E+06	2.02E-11	3.78E+08	705097	4.25E+07	6.27E+06	89.0504	3.90E-10	2.35E-08	0
339	1412.54	33.446	0.488377	0.0146019	3.84E-08	2.63E-06	0.0298926	0.000436489	81854.3	5.61E+06	2.01E-11	3.84E+08	555450	3.80E+07	5.61E+06	89.1634	3.84E-10	2.63E-08	0
339	1584.89	33.3579	0.403051	0.0120826	3.55E-08	2.94E-06	0.0299735	0.000362159	60529.6	5.01E+06	2.00E-11	4.15E+08	410744	3.40E+07	5.01E+06	89.3077	3.55E-10	2.94E-08	0
339	1778.28	33.4251	0.522685	0.0156375	5.17E-08	3.31E-06	0.0299103	0.000467723	69671.7	4.46E+06	2.01E-11	2.85E+08	472781	3.02E+07	4.46E+06	89.1041	5.17E-10	3.31E-08	0
339	1995.26	33.3155	0.560201	0.016815	6.22E-08	3.70E-06	0.0300076	0.000504579	66988.1	3.98E+06	2.00E-11	2.37E+08	454570	2.70E+07	3.98E+06	89.0367	6.22E-10	3.70E-08	0
339	2238.72	33.4073	0.494535	0.0148032	6.16E-08	4.16E-06	0.029927	0.000443016	52418.9	3.54E+06	2.01E-11	2.39E+08	355706	2.40E+07	3.54E+06	89.1519	6.16E-10	4.16E-08	0
339	2511.89	33.3308	0.459131	0.013775	6.42E-08	4.66E-06	0.0299966	0.000413204	43574.5	3.16E+06	2.00E-11	2.30E+08	295689	2.15E+07	3.16E+06	89.2108	6.42E-10	4.66E-08	0
339	2818.38	33.3138	0.456299	0.013697	7.15E-08	5.22E-06	0.0300119	0.000411073	38635.5	2.82E+06	2.00E-11	2.06E+08	262174	1.91E+07	2.82E+06	89.2153	7.15E-10	5.22E-08	0
339	3162.28	33.2135	0.460734	0.0138719	8.11E-08	5.84E-06	0.0301025	0.000417578	34978.9	2.52E+06	2.00E-11	1.82E+08	237361	1.71E+07	2.52E+06	89.2052	8.11E-10	5.84E-08	0
339	3548.13	33.2759	0.441966	0.0132819	8.72E-08	6.57E-06	0.0300465	0.000399073	29793.4	2.24E+06	2.00E-11	1.69E+08	202173	1.52E+07	2.24E+06	89.2391	8.72E-10	6.57E-08	0
339	3981.07	33.2657	0.404899	0.0121717	8.97E-08	7.37E-06	0.0300565	0.000365837	24342	2.00E+06	2.00E-11	1.64E+08	165181	1.36E+07	2.00E+06	89.3026	8.97E-10	7.37E-08	0
339	4466.84	33.1955	0.384545	0.0115843	9.56E-08	8.25E-06	0.0301205	0.000348925	20691.9	1.79E+06	1.99E-11	1.54E+08	140412	1.21E+07	1.79E+06	89.3363	9.56E-10	8.25E-08	0
339	5011.87	33.2841	0.514728	0.0154647	1.44E-07	9.28E-06	0.0300372	0.000464515	24550.9	1.59E+06	2.00E-11	1.03E+08	166599	1.08E+07	1.59E+06	89.114	1.44E-09	9.28E-08	0
339	5623.41	33.1576	0.386908	0.0116688	1.21E-07	1.04E-05	0.0301549	0.00035187	16574.9	1.42E+06	1.99E-11	1.22E+08	112474	9.64E+06	1.42E+06	89.3315	1.21E-09	1.04E-07	0
339	6309.57	33.1476	0.341741	0.0103097	1.20E-07	1.16E-05	0.0301649	0.00031099	13056.1	1.27E+06	1.99E-11	1.23E+08	88596.8	8.59E+06	1.27E+06	89.4093	1.20E-09	1.16E-07	0
339	7079.46	33.0974	0.328358	0.00992095	1.29E-07	1.30E-05	0.0302109	0.000299721	11214.6	1.13E+06	1.99E-11	1.14E+08	76100.6	7.67E+06	1.13E+06	89.4316	1.29E-09	1.30E-07	0
